,Pitch,Roll,Time,Yaw
0,71.0,-10.0,14.247,41.0
1,71.0,-11.0,16.79,81.0
2,72.0,-11.0,16.862,37.0
3,71.0,-11.0,16.933,86.0
4,72.0,-10.0,17.004,29.0
5,72.0,-10.0,17.076,29.0
6,71.0,-10.0,17.147,39.0
7,72.0,-10.0,17.218,28.0
8,73.0,-10.0,17.29,55.0
9,72.0,-10.0,17.361,29.0
10,72.0,-10.0,17.432,28.0
11,72.0,-11.0,17.504,38.0
12,72.0,-10.0,17.576999999999998,28.0
13,73.0,-10.0,17.651,53.0
14,72.0,-10.0,17.722,30.0
15,72.0,-10.0,17.794,29.0
16,72.0,-10.0,17.866,29.0
17,72.0,-10.0,17.938,29.0
18,72.0,-10.0,18.009999999999998,29.0
19,72.0,-11.0,18.081,38.0
20,73.0,-10.0,18.152,53.0
21,72.0,-10.0,18.224,28.0
22,72.0,-10.0,18.296,29.0
23,73.0,-10.0,18.368,55.0
24,72.0,-10.0,18.44,31.0
25,72.0,-10.0,18.512,30.0
26,73.0,-10.0,18.585,53.0
27,72.0,-10.0,18.656,31.0
28,72.0,-10.0,18.727,28.0
29,71.0,-10.0,18.799,39.0
30,72.0,-10.0,18.87,28.0
31,72.0,-10.0,18.943,29.0
32,72.0,-10.0,19.017,29.0
33,71.0,-10.0,19.09,43.0
34,72.0,-10.0,19.161,31.0
35,71.0,-10.0,19.232,39.0
36,72.0,-10.0,19.303,29.0
37,71.0,-10.0,19.375,38.0
38,71.0,-10.0,19.445999999999998,39.0
39,72.0,-11.0,19.519,38.0
40,71.0,-11.0,19.59,85.0
41,71.0,-11.0,19.661,85.0
42,72.0,-11.0,19.732,37.0
43,73.0,-12.0,19.803,7.0
44,76.0,-11.0,19.875,145.0
45,80.0,-8.0,19.945999999999998,-109.0
46,72.0,-18.0,20.017,24.0
47,77.0,-11.0,20.089,114.0
48,66.0,-15.0,20.162,-6.0
49,50.0,-16.0,20.236,155.0
50,44.0,-27.0,20.307,-150.0
51,59.0,-18.0,20.378,43.0
52,61.0,-13.0,20.451,-35.0
53,72.0,-6.0,20.523,7.0
54,76.0,-5.0,20.594,143.0
55,45.0,-45.0,20.666,-140.0
56,67.0,-18.0,20.739,28.0
57,36.0,3.0,20.811,163.0
58,63.0,-3.0,20.882,-176.0
59,71.0,-7.0,20.955,-111.0
60,81.0,-5.0,21.031,130.0
61,71.0,-5.0,21.102,91.0
62,70.0,-11.0,21.174,132.0
63,86.0,-3.0,21.246,176.0
64,68.0,-13.0,21.317,-76.0
65,75.0,-2.0,21.391,-156.0
66,67.0,-15.0,21.464,165.0
67,55.0,3.0,21.536,114.0
68,26.0,-13.0,21.607,-102.0
69,21.0,-17.0,21.68,119.0
70,10.0,-17.0,21.752,25.0
71,22.0,-19.0,21.823999999999998,-32.0
72,66.0,-5.0,21.895,17.0
73,47.0,-29.0,21.966,35.0
74,74.0,-5.0,22.037,35.0
75,60.0,-14.0,22.112,-33.0
76,49.0,23.0,22.185,-178.0
77,60.0,-2.0,22.256,-9.0
78,75.0,-5.0,22.328,161.0
79,73.0,6.0,22.399,-52.0
80,73.0,-15.0,22.47,104.0
81,74.0,-8.0,22.541999999999998,-161.0
82,60.0,-10.0,22.614,64.0
83,79.0,-11.0,22.685,33.0
84,67.0,-8.0,22.756,-162.0
85,52.0,-2.0,22.828,4.0
86,26.0,-15.0,22.902,46.0
87,12.0,-18.0,22.976,-82.0
88,7.0,-18.0,23.047,-169.0
89,10.0,-17.0,23.118,33.0
90,80.0,-2.0,23.189,-154.0
91,43.0,-18.0,23.259999999999998,16.0
92,78.0,-1.0,23.332,-41.0
93,37.0,-13.0,23.403,-125.0
94,53.0,8.0,23.476,47.0
95,56.0,-15.0,23.547,171.0
96,72.0,4.0,23.619,3.0
97,76.0,-6.0,23.69,-152.0
98,75.0,-10.0,23.761,125.0
99,80.0,-8.0,23.832,-151.0
100,84.0,-6.0,23.904,-107.0
101,69.0,-20.0,23.975,-118.0
102,50.0,4.0,24.046,163.0
103,26.0,-13.0,24.117,-112.0
104,14.0,-19.0,24.189,-122.0
105,11.0,-23.0,24.259999999999998,72.0
106,10.0,-15.0,24.333,-5.0
107,72.0,-7.0,24.408,-41.0
108,49.0,-20.0,24.48,-114.0
109,50.0,-19.0,24.551,-145.0
110,22.0,26.0,24.623,16.0
111,52.0,-15.0,24.694,-9.0
112,54.0,-33.0,24.766,-56.0
113,81.0,8.0,24.837,119.0
114,80.0,-2.0,24.91,-148.0
115,66.0,-9.0,24.980999999999998,17.0
116,81.0,-8.0,25.054,-149.0
117,78.0,-12.0,25.127,-88.0
118,71.0,-13.0,25.197999999999997,-95.0
119,47.0,0.0,25.269000000000002,-79.0
120,25.0,-13.0,25.34,-109.0
121,4.0,-25.0,25.410999999999998,-42.0
122,2.0,-16.0,25.483999999999998,55.0
123,17.0,-7.0,25.559,-68.0
124,71.0,-16.0,25.63,40.0
125,48.0,-19.0,25.700999999999997,-27.0
126,60.0,-21.0,25.773,-16.0
127,18.0,15.0,25.846,134.0
128,44.0,-14.0,25.916999999999998,-148.0
129,75.0,1.0,25.988000000000003,168.0
130,77.0,-2.0,26.06,-12.0
131,68.0,-5.0,26.130999999999997,31.0
132,73.0,-2.0,26.203,-127.0
133,74.0,-10.0,26.275000000000002,92.0
134,82.0,0.0,26.346999999999998,-119.0
135,80.0,-8.0,26.418000000000003,-168.0
136,46.0,7.0,26.493,-147.0
137,26.0,-11.0,26.565,164.0
138,11.0,-20.0,26.636,-143.0
139,1.0,-23.0,26.709999999999997,147.0
140,15.0,-20.0,26.781000000000002,-29.0
141,73.0,-16.0,26.855,48.0
142,63.0,-27.0,26.927000000000003,-168.0
143,58.0,4.0,26.998,20.0
144,43.0,17.0,27.069999999999997,-176.0
145,60.0,-14.0,27.141000000000002,-25.0
146,69.0,5.0,27.212999999999997,-158.0
147,77.0,-5.0,27.288,-180.0
148,74.0,-5.0,27.358999999999998,-10.0
149,85.0,-5.0,27.429999999999996,-8.0
150,76.0,-13.0,27.501,-111.0
151,58.0,-18.0,27.574,-146.0
152,59.0,0.0,27.647000000000002,-78.0
153,25.0,-17.0,27.718999999999998,129.0
154,20.0,-14.0,27.790000000000003,-29.0
155,4.0,-25.0,27.862,-41.0
156,11.0,-19.0,27.932999999999996,-64.0
157,61.0,4.0,28.005999999999997,-178.0
158,39.0,-30.0,28.077,155.0
159,76.0,-11.0,28.148,157.0
160,38.0,-15.0,28.218999999999998,168.0
161,50.0,15.0,28.291,139.0
162,51.0,-37.0,28.363000000000003,-167.0
163,70.0,-5.0,28.435,172.0
164,70.0,-3.0,28.507,107.0
165,75.0,-13.0,28.578,-132.0
166,77.0,-9.0,28.650000000000002,48.0
167,71.0,-19.0,28.721999999999998,-85.0
168,82.0,-7.0,28.793000000000003,-114.0
169,50.0,-4.0,28.865,113.0
170,30.0,-17.0,28.935999999999996,36.0
171,15.0,-20.0,29.008,-31.0
172,12.0,-20.0,29.080000000000002,-148.0
173,23.0,-24.0,29.154999999999998,8.0
174,78.0,-1.0,29.226000000000003,-43.0
175,47.0,-15.0,29.297,4.0
176,78.0,12.0,29.368999999999996,-44.0
177,31.0,-24.0,29.441,163.0
178,53.0,13.0,29.513,-32.0
179,57.0,-22.0,29.584,136.0
180,73.0,-13.0,29.656000000000002,-50.0
181,83.0,-1.0,29.727999999999998,-79.0
182,59.0,-11.0,29.799000000000003,51.0
183,68.0,-17.0,29.871,64.0
184,74.0,-14.0,29.943,-163.0
185,25.0,12.0,30.014,-131.0
186,71.0,-16.0,30.084999999999997,82.0
187,55.0,3.0,30.157999999999998,95.0
188,28.0,-17.0,30.229000000000003,44.0
189,20.0,-26.0,30.301,-92.0
190,26.0,-25.0,30.374,-152.0
191,43.0,-9.0,30.444999999999997,172.0
192,69.0,-20.0,30.516000000000002,-139.0
193,57.0,-13.0,30.587999999999997,-147.0
194,86.0,-2.0,30.659000000000002,-117.0
195,19.0,-7.0,30.73,-145.0
196,55.0,12.0,30.802000000000003,-71.0
197,59.0,-4.0,30.874,44.0
198,65.0,-17.0,30.944999999999997,64.0
199,67.0,-5.0,31.017,25.0
200,66.0,-5.0,31.087999999999997,22.0
201,68.0,-7.0,31.160999999999998,-117.0
